"Időbélyeg","Nemed","Életkorod (években)","Mekkora településen élsz?","Hány cm magas vagy?","Jobb- vagy balkezes vagy? ","Van-e háziállatod?","Mennyire várod már a statisztika órát? ","Mit gondolsz, a csoporttársaid mennyire várják már a statisztika órát?","Mikor van statisztika órád?","Hány percbe telik, mire otthonról/az albérletből/kollégiumból eljutsz az egyetemre?","Mennyire jellemző rád az alábbi állítás: Szívesen kelek reggel korán és este pihenek","Mennyire jellemző rád az alábbi állítás: Szívesen alszom reggel sokáig és este aktív vagyok"
"2022/09/07 3:43:16 du. EET","nő","18","város","169","jobb","nem","4","3","szerda 18:00","20","1","5"
"2022/09/07 3:56:55 du. EET","nő","18","megyeszékhely","168","jobb","igen","4","2","szerda 18:00","10","4","3"
"2022/09/07 4:50:10 du. EET","nő","19","község/falu","166","jobb","igen","3","4","szerda 18:00","20","4","2"
"2022/09/07 6:29:43 du. EET","nő","19","megyeszékhely","177","jobb","igen","4","3","szerda 18:00","18","5","4"
"2022/09/07 7:07:18 du. EET","nő","19","megyeszékhely","172","jobb","igen","4","2","csütörtök 18:00","15","3","4"
"2022/09/07 8:17:58 du. EET","nő","18","város","172","bal","igen","3","3","szerda 18:00","20","2","5"
"2022/09/07 8:34:44 du. EET","nő","19","város","170","jobb","igen","4","3","szerda 18:00","11","5","1"
"2022/09/07 9:21:16 du. EET","férfi","18","község/falu","172","jobb","igen","3","3","szerda 18:00","2","1","5"
"2022/09/07 10:35:21 du. EET","nő","20","város","171","jobb","igen","4","3","csütörtök 18:00","8","5","2"
"2022/09/08 7:50:38 de. EET","nő","20","város","160","jobb","igen","4","3","szerda 16:00","25","3","4"
"2022/09/08 8:08:57 de. EET","nő","22","megyeszékhely","171","bal","igen","4","4","szerda 16:00","10","4","2"
"2022/09/08 10:06:55 de. EET","nő","18","város","174","jobb","igen","5","5","szerda 14:00","17","1","4"
"2022/09/08 10:46:14 de. EET","nő","20","megyeszékhely","178","jobb","igen","5","3","csütörtök 18:00","7 ","4","2"
"2022/09/08 10:50:49 de. EET","nő","18","község/falu","165","bal","igen","4","3","szerda 14:00","20","2","4"
"2022/09/08 12:55:14 du. EET","nő","18","megyeszékhely","170","jobb","igen","4","2","szerda 14:00","20","3","4"
"2022/09/08 1:12:07 du. EET","nő","18","város","178","jobb","igen","4","4","hétfő 18:00","25 ","4","2"
"2022/09/08 1:49:40 du. EET","nő","20","város","173","jobb","nem","2","2","szerda 18:00","20","2","5"
"2022/09/08 2:09:19 du. EET","nő","19","város","168","jobb","igen","3","3","szerda 18:00","40","2","5"
"2022/09/08 3:13:35 du. EET","nő","19","megyeszékhely","160","jobb","igen","4","3","szerda 14:00","18","2","3"
"2022/09/08 3:46:43 du. EET","nő","19","község/falu","160","bal","nem","4","2","szerda 8:00","15","4","2"
"2022/09/08 4:31:15 du. EET","nő","19","megyeszékhely","167","jobb","igen","4","3","csütörtök 18:00","15","2","4"
"2022/09/08 4:54:44 du. EET","nő","18","megyeszékhely","157","jobb","igen","4","1","hétfő 18:00","20","1","5"
"2022/09/08 11:35:07 du. EET","nő","19","község/falu","164","jobb","nem","3","3","szerda 18:00","25","3","3"
"2022/09/09 12:53:04 de. EET","nő","20","város","176","jobb","igen","3","2","szerda 16:00","10","2","4"
"2022/09/09 7:32:35 de. EET","férfi","47","megyeszékhely","170","jobb","igen","3","3","hétfő 18:00","17","2","4"
"2022/09/09 7:54:15 de. EET","nő","18","város","170","jobb","nem","3","4","szerda 16:00","15","2","5"
"2022/09/09 8:59:20 de. EET","nő","18","város","170","jobb","igen","3","2","szerda 8:00","20","2","4"
"2022/09/09 9:22:33 de. EET","nő","20","község/falu","163","jobb","igen","3","3","szerda 8:00","15","2","4"
